Location Name,Location Type,Value Category,Value Name,Secondary Value Name,METRIC
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteer Rate,2017,,0.27
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,0.20
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,0.34
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,0.37
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,0.27
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,0.18
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,0.16
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.28
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,0.27
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.28
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.23
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.31
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.27
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Generations 2017,Millennials,,0.20
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Generations 2017,Gen X,,0.37
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Generations 2017,Boomers,,0.27
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.04
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Educational or youth service,,0.20
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.03
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Hospital or other health,,0.03
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Public safety,,
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Religious,,0.24
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Social or community service,,0.24
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.22
"Atlanta-Sandy Springs-Roswell, GA Metro Area",MSA,Organizations 2017,Other,,0.01
"Austin-Round Rock, TX Metro Area",MSA,Volunteer Rate,2017,,0.31
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.31
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.37
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.25
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.36
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.32
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Generations 2017,Gen X,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Generations 2017,Boomers,,
"Austin-Round Rock, TX Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Educational or youth service,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Environmental or animal care,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Hospital or other health,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Public safety,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Religious,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Social or community service,,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,
"Austin-Round Rock, TX Metro Area",MSA,Organizations 2017,Other,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteer Rate,2017,,0.38
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.44
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.38
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.32
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.43
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.38
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Generations 2017,Gen X,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Generations 2017,Boomers,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.02
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Educational or youth service,,0.04
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.05
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Hospital or other health,,0.02
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Public safety,,0.02
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Religious,,0.17
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Social or community service,,0.24
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.34
"Baltimore-Columbia-Towson, MD Metro Area",MSA,Organizations 2017,Other,,0.10
"Birmingham-Hoover, AL Metro Area",MSA,Volunteer Rate,2017,,0.36
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
