type,region,group,Basically every day,A few times a week,A few times a month,Once a month,Less than once a month,Not at all
Overall,Inland Empire,Overall,0.03,0.04,0.06,0.04,0.09,0.74
Overall,Rest of California,Overall,0.02,0.06,0.07,0.07,0.09,0.69
Overall,Rest of SoCal,Overall,0.02,0.06,0.07,0.05,0.1,0.71
Overall,SoCal,Overall,0.02,0.05,0.07,0.05,0.09,0.72
Overall,State of CA,Overall,0.02,0.06,0.07,0.06,0.09,0.7
Race,Inland Empire,Black,0.05,0.03,NA,0.03,0.08,0.82
Race,Inland Empire,White,0.04,0.07,0.11,0.04,0.09,0.66
Race,Inland Empire,Hispanic,0.01,0.03,0.04,0.04,0.08,0.8
Race,Inland Empire,Asian,NA,NA,0.03,0.06,0.11,0.81
Race,Rest of California,White,0.02,0.07,0.08,0.09,0.12,0.62
Race,Rest of California,Asian,0.01,0.05,0.07,0.07,0.08,0.73
Race,Rest of California,Black,0.01,0.07,0.11,NA,0.07,0.73
Race,Rest of California,Hispanic,0.01,0.03,0.06,0.04,0.06,0.8
Race,Rest of SoCal,Black,0.03,0.08,0.07,0.07,0.17,0.59
Race,Rest of SoCal,White,0.02,0.07,0.09,0.07,0.1,0.66
Race,Rest of SoCal,Asian,0.01,0.03,0.04,0.04,0.05,0.83
Race,Rest of SoCal,Hispanic,0.01,0.05,0.06,0.04,0.1,0.73
Race,SoCal,Black,0.04,0.06,0.04,0.05,0.14,0.67
Race,SoCal,White,0.03,0.07,0.09,0.06,0.1,0.66
Race,SoCal,Asian,0.01,0.03,0.04,0.04,0.06,0.83
Race,SoCal,Hispanic,0.01,0.05,0.06,0.04,0.1,0.75
Race,State of CA,Black,0.03,0.07,0.07,0.03,0.11,0.69
Race,State of CA,White,0.02,0.07,0.09,0.08,0.11,0.64
Race,State of CA,Asian,0.01,0.04,0.05,0.05,0.07,0.78
Race,State of CA,Hispanic,0.01,0.04,0.06,0.04,0.08,0.77
Gender,Inland Empire,Female,0.03,0.04,0.05,0.03,0.08,0.76
Gender,Inland Empire,Male,0.03,0.04,0.07,0.05,0.1,0.72
Gender,Rest of California,Male,0.02,0.05,0.08,0.07,0.1,0.68
Gender,Rest of California,Female,0.01,0.06,0.07,0.07,0.09,0.69
Gender,Rest of SoCal,Male,0.02,0.07,0.06,0.04,0.1,0.71
Gender,Rest of SoCal,Female,0.01,0.05,0.07,0.06,0.09,0.71
Gender,SoCal,Female,0.02,0.05,0.07,0.06,0.09,0.72
Gender,SoCal,Male,0.02,0.06,0.07,0.04,0.1,0.71
Gender,State of CA,Male,0.02,0.06,0.07,0.05,0.1,0.7
Gender,State of CA,Female,0.01,0.05,0.07,0.06,0.09,0.71
Age Group,Inland Empire,35-49,0.04,0.04,0.05,0.05,0.12,0.71
Age Group,Inland Empire,65+,0.04,0.07,0.11,0.03,0.07,0.67
Age Group,Inland Empire,18-34,0.02,0.04,0.03,0.04,0.06,0.81
Age Group,Inland Empire,50-64,0.01,0.05,0.09,0.04,0.09,0.72
Age Group,Rest of California,65+,0.03,0.08,0.1,0.09,0.08,0.63
Age Group,Rest of California,50-64,0.02,0.07,0.09,0.09,0.11,0.62
Age Group,Rest of California,18-34,0.01,0.04,0.05,0.04,0.09,0.77
Age Group,Rest of California,35-49,0.01,0.05,0.06,0.06,0.1,0.72
Age Group,Rest of SoCal,50-64,0.02,0.06,0.07,0.06,0.1,0.69
Age Group,Rest of SoCal,65+,0.02,0.06,0.1,0.06,0.1,0.66
Age Group,Rest of SoCal,18-34,0.01,0.04,0.05,0.04,0.08,0.77
Age Group,Rest of SoCal,35-49,0.01,0.06,0.06,0.06,0.09,0.71
Age Group,SoCal,18-34,0.02,0.04,0.05,0.04,0.08,0.78
Age Group,SoCal,35-49,0.02,0.06,0.06,0.06,0.1,0.71
Age Group,SoCal,50-64,0.02,0.06,0.07,0.05,0.1,0.7
Age Group,SoCal,65+,0.02,0.06,0.1,0.05,0.1,0.66
Age Group,State of CA,65+,0.03,0.07,0.1,0.07,0.09,0.65
Age Group,State of CA,35-49,0.02,0.05,0.06,0.06,0.1,0.71
Age Group,State of CA,50-64,0.02,0.07,0.08,0.07,0.1,0.66
Age Group,State of CA,18-34,0.01,0.04,0.05,0.04,0.08,0.78
Education,Inland Empire,HS or Less,0.03,0.05,0.04,0.03,0.07,0.79
Education,Inland Empire,Some College or AA,0.03,0.04,0.07,0.03,0.1,0.73
Education,Inland Empire,4-Year College or Higher,0.02,0.03,0.1,0.07,0.12,0.66
Education,Rest of California,Some College or AA,0.02,0.06,0.09,0.06,0.09,0.68
Education,Rest of California,4-Year College or Higher,0.01,0.09,0.09,0.1,0.13,0.58
Education,Rest of California,HS or Less,0.01,0.02,0.05,0.04,0.06,0.81
Education,Rest of SoCal,4-Year College or Higher,0.02,0.06,0.08,0.06,0.1,0.68
Education,Rest of SoCal,Some College or AA,0.02,0.07,0.08,0.05,0.1,0.68
Education,Rest of SoCal,HS or Less,0.01,0.04,0.05,0.05,0.09,0.76
Education,SoCal,4-Year College or Higher,0.02,0.06,0.08,0.06,0.1,0.68
Education,SoCal,Some College or AA,0.02,0.06,0.08,0.05,0.1,0.69
Education,SoCal,HS or Less,0.01,0.04,0.05,0.04,0.09,0.77
Education,State of CA,4-Year College or Higher,0.02,0.07,0.09,0.08,0.11,0.63
Education,State of CA,Some College or AA,0.02,0.06,0.08,0.05,0.09,0.69
Education,State of CA,HS or Less,0.01,0.03,0.05,0.04,0.07,0.79
