type,region,group,Basically every day,A few times a week,A few times a month,Once a month,Less than once a month,Not at all
Overall,Inland Empire,Overall,0.42,0.16,0.07,0.03,0.04,0.28
Overall,Los Angeles County,Overall,0.53,0.19,0.05,0.01,0.01,0.21
Overall,Rest of SoCal,Overall,0.56,0.19,0.06,0.01,0.02,0.16
Overall,State of CA,Overall,0.55,0.19,0.06,0.02,0.02,0.15
Race,Inland Empire,White,0.51,0.17,0.07,0.01,0.03,0.21
Race,Inland Empire,Hispanic,0.37,0.13,0.08,0.04,0.05,0.32
Race,Los Angeles County,White,0.63,0.19,0.03,0.02,0,0.13
Race,Los Angeles County,Black,0.57,0.11,0.06,0.02,0.04,0.2
Race,Los Angeles County,Hispanic,0.49,0.18,0.06,0.01,0.03,0.23
Race,Los Angeles County,Asian,0.42,0.2,0.06,0,0.01,0.31
Race,Rest of SoCal,White,0.63,0.19,0.04,0.02,0.01,0.11
Race,Rest of SoCal,Black,0.57,0.11,0.06,0.02,0.04,0.2
Race,Rest of SoCal,Hispanic,0.51,0.2,0.07,0.01,0.03,0.19
Race,Rest of SoCal,Asian,0.48,0.18,0.08,0.01,0.01,0.24
Race,State of CA,White,0.63,0.18,0.05,0.01,0.02,0.11
Race,State of CA,Black,0.57,0.11,0.06,0.02,0.04,0.2
Race,State of CA,Hispanic,0.48,0.2,0.07,0.02,0.03,0.2
Race,State of CA,Asian,0.46,0.22,0.09,0.01,0.02,0.2
Gender,Inland Empire,Male,0.44,0.17,0.06,0.05,0.03,0.25
Gender,Inland Empire,Female,0.41,0.15,0.08,0.02,0.05,0.29
Gender,Los Angeles County,Male,0.54,0.17,0.06,0.01,0.02,0.2
Gender,Los Angeles County,Female,0.52,0.2,0.03,0.01,0.01,0.23
Gender,Rest of SoCal,Male,0.57,0.17,0.07,0.01,0.02,0.15
Gender,Rest of SoCal,Female,0.55,0.2,0.05,0.01,0.01,0.18
Gender,State of CA,Male,0.56,0.19,0.06,0.02,0.02,0.14
Gender,State of CA,Female,0.54,0.2,0.06,0.02,0.02,0.16
Age Group,Inland Empire,65+,0.54,0.14,NA,0.04,0.04,0.24
Age Group,Inland Empire,50-64,0.53,0.16,0.04,0.02,0.02,0.23
Age Group,Inland Empire,35-49,0.37,0.18,0.1,0.04,0.05,0.27
Age Group,Inland Empire,18-34,0.32,0.14,0.12,0.04,0.04,0.34
Age Group,Los Angeles County,65+,0.62,0.13,0.01,0,0.01,0.23
Age Group,Los Angeles County,50-64,0.58,0.14,0.04,0.01,0.01,0.21
Age Group,Los Angeles County,35-49,0.54,0.18,0.03,0.01,0.02,0.22
Age Group,Los Angeles County,18-34,0.43,0.27,0.08,0.01,0.01,0.19
Age Group,Rest of SoCal,65+,0.66,0.12,0.03,0.01,0.01,0.17
Age Group,Rest of SoCal,50-64,0.61,0.17,0.05,0.01,0.01,0.15
Age Group,Rest of SoCal,35-49,0.55,0.19,0.06,0.01,0.02,0.16
Age Group,Rest of SoCal,18-34,0.45,0.26,0.08,0.02,0.02,0.17
Age Group,State of CA,65+,0.69,0.13,0.02,0.01,0.01,0.13
Age Group,State of CA,50-64,0.61,0.17,0.05,0.01,0.01,0.14
Age Group,State of CA,35-49,0.53,0.2,0.07,0.02,0.03,0.15
Age Group,State of CA,18-34,0.4,0.26,0.1,0.02,0.03,0.18
Education,Inland Empire,4-Year College or Higher,0.5,0.24,0.1,0.04,0.01,0.11
Education,Inland Empire,Some College or AA,0.41,0.17,0.1,0.04,0.06,0.23
Education,Inland Empire,HS or Less,0.39,0.12,0.04,0.03,0.04,0.38
Education,Los Angeles County,4-Year College or Higher,0.62,0.19,0.04,0.01,0.01,0.12
Education,Los Angeles County,Some College or AA,0.52,0.21,0.06,0.02,0.01,0.19
Education,Los Angeles County,HS or Less,0.46,0.17,0.04,0.01,0.02,0.3
Education,Rest of SoCal,4-Year College or Higher,0.64,0.18,0.05,0,0.01,0.11
Education,Rest of SoCal,Some College or AA,0.55,0.2,0.07,0.02,0.01,0.14
Education,Rest of SoCal,HS or Less,0.47,0.19,0.06,0.02,0.02,0.24
Education,State of CA,4-Year College or Higher,0.63,0.2,0.06,0.01,0.01,0.09
Education,State of CA,Some College or AA,0.55,0.19,0.07,0.02,0.03,0.13
Education,State of CA,HS or Less,0.46,0.19,0.06,0.02,0.03,0.23
