type,region,group,Basically every day,A few times a week,A few times a month,Once a month,Less than once a month,Not at all
Overall,Inland Empire,Overall,0.42,0.16,0.07,0.03,0.04,0.28
Overall,Rest of California,Overall,0.57,0.21,0.07,0.02,0.02,0.11
Overall,Rest of SoCal,Overall,0.56,0.19,0.06,0.01,0.02,0.16
Overall,SoCal,Overall,0.53,0.18,0.06,0.02,0.02,0.19
Overall,State of CA,Overall,0.55,0.19,0.06,0.02,0.02,0.15
Race,Inland Empire,White,0.51,0.17,0.07,0.01,0.03,0.21
Race,Inland Empire,Hispanic,0.37,0.13,0.08,0.04,0.05,0.32
Race,Inland Empire,Asian,0.34,0.31,0.11,NA,0.03,0.2
Race,Inland Empire,Black,0.3,0.16,NA,0.14,0.03,0.38
Race,Rest of California,White,0.65,0.18,0.05,0.01,0.02,0.08
Race,Rest of California,Black,0.51,0.2,0.1,0.04,0.04,0.12
Race,Rest of California,Hispanic,0.48,0.25,0.07,0.02,0.02,0.16
Race,Rest of California,Asian,0.45,0.26,0.11,0.02,0.02,0.14
Race,Rest of SoCal,White,0.63,0.19,0.04,0.02,0.01,0.11
Race,Rest of SoCal,Black,0.58,0.14,0.07,0.01,0.05,0.14
Race,Rest of SoCal,Hispanic,0.51,0.2,0.07,0.01,0.03,0.19
Race,Rest of SoCal,Asian,0.48,0.18,0.08,0.01,0.01,0.24
Race,SoCal,White,0.61,0.18,0.05,0.02,0.01,0.13
Race,SoCal,Black,0.49,0.15,0.04,0.05,0.04,0.22
Race,SoCal,Asian,0.47,0.19,0.08,0.01,0.01,0.24
Race,SoCal,Hispanic,0.47,0.18,0.07,0.02,0.03,0.23
Race,State of CA,White,0.63,0.18,0.05,0.01,0.02,0.11
Race,State of CA,Black,0.5,0.17,0.07,0.05,0.04,0.18
Race,State of CA,Hispanic,0.48,0.2,0.07,0.02,0.03,0.2
Race,State of CA,Asian,0.46,0.22,0.1,0.01,0.02,0.2
Gender,Inland Empire,Male,0.44,0.17,0.06,0.05,0.03,0.25
Gender,Inland Empire,Female,0.41,0.15,0.08,0.02,0.05,0.29
Gender,Rest of California,Male,0.58,0.2,0.06,0.02,0.03,0.11
Gender,Rest of California,Female,0.56,0.21,0.08,0.02,0.02,0.11
Gender,Rest of SoCal,Male,0.57,0.17,0.07,0.01,0.02,0.15
Gender,Rest of SoCal,Female,0.55,0.2,0.05,0.01,0.01,0.18
Gender,SoCal,Male,0.54,0.17,0.07,0.02,0.02,0.17
Gender,SoCal,Female,0.52,0.19,0.05,0.02,0.02,0.2
Gender,State of CA,Male,0.56,0.19,0.06,0.02,0.02,0.14
Gender,State of CA,Female,0.54,0.2,0.06,0.02,0.02,0.16
Age Group,Inland Empire,65+,0.54,0.14,NA,0.04,0.04,0.24
Age Group,Inland Empire,50-64,0.53,0.16,0.04,0.02,0.02,0.23
Age Group,Inland Empire,35-49,0.37,0.18,0.1,0.04,0.05,0.27
Age Group,Inland Empire,18-34,0.32,0.14,0.12,0.04,0.04,0.34
Age Group,Rest of California,65+,0.75,0.14,0.02,0.01,0,0.09
Age Group,Rest of California,50-64,0.64,0.18,0.05,0.01,0.02,0.11
Age Group,Rest of California,35-49,0.56,0.21,0.08,0.03,0.03,0.1
Age Group,Rest of California,18-34,0.38,0.3,0.1,0.03,0.04,0.15
Age Group,Rest of SoCal,65+,0.66,0.12,0.03,0.01,0.01,0.17
Age Group,Rest of SoCal,50-64,0.61,0.17,0.05,0.01,0.01,0.15
Age Group,Rest of SoCal,35-49,0.55,0.19,0.06,0.01,0.02,0.16
Age Group,Rest of SoCal,18-34,0.45,0.26,0.08,0.02,0.02,0.17
Age Group,SoCal,65+,0.64,0.13,0.02,0.02,0.02,0.18
Age Group,SoCal,50-64,0.59,0.17,0.05,0.01,0.01,0.17
Age Group,SoCal,35-49,0.5,0.19,0.07,0.02,0.03,0.19
Age Group,SoCal,18-34,0.42,0.24,0.09,0.02,0.02,0.21
Age Group,State of CA,65+,0.69,0.13,0.02,0.01,0.01,0.13
Age Group,State of CA,50-64,0.61,0.17,0.05,0.01,0.01,0.14
Age Group,State of CA,35-49,0.53,0.2,0.07,0.02,0.03,0.15
Age Group,State of CA,18-34,0.4,0.26,0.1,0.02,0.03,0.18
Education,Inland Empire,4-Year College or Higher,0.5,0.24,0.1,0.04,0.01,0.11
Education,Inland Empire,Some College or AA,0.41,0.17,0.1,0.04,0.06,0.23
Education,Inland Empire,HS or Less,0.39,0.12,0.04,0.03,0.04,0.38
Education,Rest of California,4-Year College or Higher,0.63,0.22,0.06,0.02,0.01,0.06
Education,Rest of California,Some College or AA,0.6,0.18,0.07,0.02,0.03,0.09
Education,Rest of California,HS or Less,0.48,0.23,0.07,0.01,0.03,0.18
Education,Rest of SoCal,4-Year College or Higher,0.64,0.18,0.05,0,0.01,0.11
Education,Rest of SoCal,Some College or AA,0.55,0.2,0.07,0.02,0.01,0.14
Education,Rest of SoCal,HS or Less,0.47,0.19,0.06,0.02,0.02,0.24
Education,SoCal,4-Year College or Higher,0.62,0.19,0.06,0.01,0.01,0.11
Education,SoCal,Some College or AA,0.51,0.19,0.08,0.03,0.03,0.16
Education,SoCal,HS or Less,0.45,0.17,0.05,0.02,0.03,0.28
Education,State of CA,4-Year College or Higher,0.63,0.2,0.06,0.01,0.01,0.09
Education,State of CA,Some College or AA,0.55,0.19,0.07,0.02,0.03,0.13
Education,State of CA,HS or Less,0.46,0.19,0.06,0.02,0.03,0.23
