type,region,group,No,Yes
Overall,Inland Empire,Overall,0.8,0.2
Overall,Rest of California,Overall,0.75,0.25
Overall,Rest of SoCal,Overall,0.76,0.24
Overall,SoCal,Overall,0.77,0.23
Overall,State of CA,Overall,0.76,0.24
Race,Inland Empire,White,0.72,0.28
Race,Inland Empire,Black,0.76,0.24
Race,Inland Empire,Asian,0.77,0.23
Race,Inland Empire,Hispanic,0.89,0.11
Race,Rest of California,White,0.64,0.36
Race,Rest of California,Black,0.82,0.18
Race,Rest of California,Asian,0.87,0.13
Race,Rest of California,Hispanic,0.9,0.1
Race,Rest of SoCal,White,0.63,0.37
Race,Rest of SoCal,Black,0.8,0.2
Race,Rest of SoCal,Asian,0.83,0.17
Race,Rest of SoCal,Hispanic,0.87,0.13
Race,SoCal,White,0.65,0.35
Race,SoCal,Black,0.79,0.21
Race,SoCal,Asian,0.83,0.17
Race,SoCal,Hispanic,0.87,0.13
Race,State of CA,White,0.65,0.35
Race,State of CA,Black,0.8,0.2
Race,State of CA,Asian,0.85,0.15
Race,State of CA,Hispanic,0.88,0.12
Gender,Inland Empire,Female,0.8,0.2
Gender,Inland Empire,Male,0.8,0.2
Gender,Rest of California,Female,0.73,0.27
Gender,Rest of California,Male,0.77,0.23
Gender,Rest of SoCal,Female,0.75,0.25
Gender,Rest of SoCal,Male,0.76,0.24
Gender,SoCal,Female,0.76,0.24
Gender,SoCal,Male,0.77,0.23
Gender,State of CA,Female,0.75,0.25
Gender,State of CA,Male,0.77,0.23
Age Group,Inland Empire,65+,0.65,0.35
Age Group,Inland Empire,50-64,0.74,0.26
Age Group,Inland Empire,35-49,0.83,0.17
Age Group,Inland Empire,18-34,0.89,0.11
Age Group,Rest of California,65+,0.66,0.34
Age Group,Rest of California,50-64,0.74,0.26
Age Group,Rest of California,35-49,0.76,0.24
Age Group,Rest of California,18-34,0.83,0.17
Age Group,Rest of SoCal,65+,0.68,0.32
Age Group,Rest of SoCal,50-64,0.72,0.28
Age Group,Rest of SoCal,35-49,0.76,0.24
Age Group,Rest of SoCal,18-34,0.85,0.15
Age Group,SoCal,65+,0.68,0.32
Age Group,SoCal,50-64,0.72,0.28
Age Group,SoCal,35-49,0.77,0.23
Age Group,SoCal,18-34,0.86,0.14
Age Group,State of CA,65+,0.67,0.33
Age Group,State of CA,50-64,0.73,0.27
Age Group,State of CA,35-49,0.77,0.23
Age Group,State of CA,18-34,0.84,0.16
Education,Inland Empire,4-Year College or Higher,0.67,0.33
Education,Inland Empire,Some College or AA,0.75,0.25
Education,Inland Empire,HS or Less,0.89,0.11
Education,Rest of California,4-Year College or Higher,0.59,0.41
Education,Rest of California,Some College or AA,0.76,0.24
Education,Rest of California,HS or Less,0.91,0.09
Education,Rest of SoCal,4-Year College or Higher,0.61,0.39
Education,Rest of SoCal,Some College or AA,0.77,0.23
Education,Rest of SoCal,HS or Less,0.89,0.11
Education,SoCal,4-Year College or Higher,0.62,0.38
Education,SoCal,Some College or AA,0.76,0.24
Education,SoCal,HS or Less,0.89,0.11
Education,State of CA,4-Year College or Higher,0.61,0.39
Education,State of CA,Some College or AA,0.76,0.24
Education,State of CA,HS or Less,0.9,0.1
