type,region,group,No,Yes
Overall,Inland Empire,Overall,0.78,0.22
Overall,Rest of California,Overall,0.71,0.29
Overall,Rest of SoCal,Overall,0.78,0.22
Overall,SoCal,Overall,0.78,0.22
Overall,State of CA,Overall,0.75,0.25
Race,Inland Empire,Black,0.56,0.44
Race,Inland Empire,White,0.77,0.23
Race,Inland Empire,Asian,0.82,0.18
Race,Inland Empire,Hispanic,0.82,0.18
Race,Rest of California,Black,0.45,0.55
Race,Rest of California,White,0.67,0.33
Race,Rest of California,Hispanic,0.77,0.23
Race,Rest of California,Asian,0.9,0.1
Race,Rest of SoCal,Black,0.67,0.33
Race,Rest of SoCal,White,0.76,0.24
Race,Rest of SoCal,Hispanic,0.83,0.17
Race,Rest of SoCal,Asian,0.84,0.16
Race,SoCal,Black,0.63,0.37
Race,SoCal,White,0.76,0.24
Race,SoCal,Asian,0.83,0.17
Race,SoCal,Hispanic,0.83,0.17
Race,State of CA,Black,0.55,0.45
Race,State of CA,White,0.72,0.28
Race,State of CA,Hispanic,0.81,0.19
Race,State of CA,Asian,0.86,0.14
Gender,Inland Empire,Male,0.75,0.25
Gender,Inland Empire,Female,0.81,0.19
Gender,Rest of California,Male,0.68,0.32
Gender,Rest of California,Female,0.74,0.26
Gender,Rest of SoCal,Male,0.75,0.25
Gender,Rest of SoCal,Female,0.81,0.19
Gender,SoCal,Male,0.75,0.25
Gender,SoCal,Female,0.81,0.19
Gender,State of CA,Male,0.71,0.29
Gender,State of CA,Female,0.77,0.23
Age Group,Inland Empire,35-49,0.72,0.28
Age Group,Inland Empire,65+,0.8,0.2
Age Group,Inland Empire,50-64,0.81,0.19
Age Group,Inland Empire,18-34,0.87,0.13
Age Group,Rest of California,35-49,0.64,0.36
Age Group,Rest of California,65+,0.71,0.29
Age Group,Rest of California,50-64,0.75,0.25
Age Group,Rest of California,18-34,0.78,0.22
Age Group,Rest of SoCal,35-49,0.75,0.25
Age Group,Rest of SoCal,50-64,0.79,0.21
Age Group,Rest of SoCal,18-34,0.81,0.19
Age Group,Rest of SoCal,65+,0.83,0.17
Age Group,SoCal,35-49,0.74,0.26
Age Group,SoCal,50-64,0.8,0.2
Age Group,SoCal,18-34,0.82,0.18
Age Group,SoCal,65+,0.82,0.18
Age Group,State of CA,35-49,0.69,0.31
Age Group,State of CA,50-64,0.77,0.23
Age Group,State of CA,65+,0.77,0.23
Age Group,State of CA,18-34,0.8,0.2
Education,Inland Empire,4-Year College or Higher,0.75,0.25
Education,Inland Empire,Some College or AA,0.77,0.23
Education,Inland Empire,HS or Less,0.83,0.17
Education,Rest of California,4-Year College or Higher,0.7,0.3
Education,Rest of California,Some College or AA,0.7,0.3
Education,Rest of California,HS or Less,0.79,0.21
Education,Rest of SoCal,4-Year College or Higher,0.75,0.25
Education,Rest of SoCal,HS or Less,0.82,0.18
Education,Rest of SoCal,Some College or AA,0.83,0.17
Education,SoCal,4-Year College or Higher,0.75,0.25
Education,SoCal,Some College or AA,0.81,0.19
Education,SoCal,HS or Less,0.82,0.18
Education,State of CA,4-Year College or Higher,0.72,0.28
Education,State of CA,Some College or AA,0.76,0.24
Education,State of CA,HS or Less,0.81,0.19
