reg_tr,reg_youth_tr,reg_senior_tr,vote_tr,vote_youth_tr,vote_senior_tr,GEOID,turnoutY,turnoutS,ratioYS
2531,188,921,1946,91,809,06097152501,0.48404255319148937,0.8783930510314875,0.5510546248323384
3883,300,1311,2955,149,1156,06097152202,0.49666666666666665,0.881769641495042,0.5632612456747405
5496,471,1739,4512,274,1588,06097152600,0.5817409766454352,0.9131684876365728,0.637057656414617
2095,187,584,1597,96,517,06097152502,0.5133689839572193,0.8852739726027398,0.5798984267524488
4064,313,1258,3238,171,1148,06097151700,0.5463258785942492,0.9125596184419714,0.5986741770658236
2831,156,1165,2352,83,1076,06097150500,0.532051282051282,0.9236051502145923,0.5760592412544085
2883,49,2149,2573,31,1992,06097151602,0.6326530612244898,0.9269427640763146,0.6825157773952955
2956,261,874,2322,123,803,06097150304,0.47126436781609193,0.9187643020594966,0.5129328237500179
3302,200,1290,2691,114,1174,06097150202,0.57,0.9100775193798449,0.626320272572402
1872,174,589,1440,83,525,06097150306,0.47701149425287354,0.8913412563667232,0.5351614668856048
5614,389,2201,4546,223,1992,06097152400,0.5732647814910026,0.9050431621990005,0.6334115381835826
3738,319,939,2847,179,834,06097151309,0.5611285266457681,0.8881789137380192,0.6317742044608827
2344,129,1020,1976,76,934,06097150204,0.5891472868217055,0.9156862745098039,0.6433942532742394
1546,105,582,1237,54,528,06097150100,0.5142857142857142,0.9072164948453608,0.5668831168831169
2519,218,688,1988,116,624,06097150612,0.5321100917431193,0.9069767441860465,0.5866854857680547
2719,188,1001,2270,107,949,06097151503,0.5691489361702128,0.948051948051948,0.6003351792480327
2475,208,783,1988,108,729,06097151504,0.5192307692307693,0.9310344827586207,0.5576923076923077
2432,20,1911,2180,13,1764,06097151601,0.65,0.9230769230769231,0.7041666666666666
2965,192,1150,2373,102,1022,06097150203,0.53125,0.888695652173913,0.5977862035225049
3099,199,1115,2562,110,1030,06097153501,0.5527638190954773,0.9237668161434978,0.5983802507684051
2727,156,1083,2299,101,1010,06097153502,0.6474358974358975,0.9325946445060018,0.6942307692307693
3093,441,475,1903,185,392,06097153200,0.41950113378684806,0.8252631578947368,0.508324077930492
4900,560,817,3195,248,690,06097153300,0.44285714285714284,0.8445532435740514,0.5243685300207039
2251,151,721,1820,75,661,06097151000,0.4966887417218543,0.9167822468793343,0.5417739527707367
3660,314,949,2694,157,843,06097151201,0.5,0.8883034773445733,0.5628706998813761
2467,174,700,1967,93,626,06097150901,0.5344827586206896,0.8942857142857142,0.5976644265726562
2374,166,661,1944,94,603,06097150902,0.5662650602409639,0.9122541603630863,0.6207316829507084
2341,207,577,1826,106,521,06097150611,0.5120772946859904,0.902946273830156,0.5671182323105882
3166,357,620,2366,197,545,06097151203,0.5518207282913166,0.8790322580645161,0.6277593606249839
2009,247,375,1395,121,328,06097151301,0.4898785425101215,0.8746666666666667,0.5600745531746816
2364,354,420,1660,182,368,06097151310,0.5141242937853108,0.8761904761904762,0.5867722918201916
3294,578,503,2353,312,430,06097151311,0.5397923875432526,0.8548707753479126,0.6314315603122235
3216,219,899,2711,128,825,06097150800,0.5844748858447488,0.917686318131257,0.6369005119690051
3057,203,820,2511,119,738,06097150701,0.5862068965517241,0.9,0.6513409961685823
3313,244,1001,2845,158,929,06097150702,0.6475409836065574,0.9280719280719281,0.6977271524113714
2691,185,899,2080,88,782,06097150609,0.4756756756756757,0.8698553948832035,0.5468445427524712
2473,227,531,1917,120,471,06097150610,0.5286343612334802,0.8870056497175142,0.5959763180785095
4011,321,1150,3066,180,996,06097150603,0.5607476635514018,0.8660869565217392,0.647449611530233
2595,225,661,2032,123,595,06097150602,0.5466666666666666,0.9001512859304085,0.6073053221288515
2357,204,556,1815,120,498,06097150601,0.5882352941176471,0.89568345323741,0.6567446255610678
3392,360,697,2681,196,627,06097150607,0.5444444444444444,0.8995695839311334,0.6052277157540316
2983,284,915,2189,129,793,06097151308,0.45422535211267606,0.8666666666666667,0.5241061755146262
3355,437,629,2063,165,494,06097151402,0.37757437070938216,0.7853736089030207,0.4807576501542538
3126,327,589,2178,163,506,06097151401,0.4984709480122324,0.8590831918505942,0.5802359454134484
2302,240,448,1515,109,368,06097153003,0.45416666666666666,0.8214285714285714,0.5528985507246377
3354,244,858,2624,133,768,06097151800,0.5450819672131147,0.8951048951048951,0.6089587602459017
3140,215,1019,2624,130,936,06097152300,0.6046511627906976,0.9185475956820413,0.6582687338501292
1156,87,235,794,37,196,06097152000,0.42528735632183906,0.8340425531914893,0.5099108608960825
2153,157,595,1673,86,517,06097152203,0.5477707006369427,0.8689075630252101,0.6304130887407754
1418,126,354,1021,60,301,06097152100,0.47619047619047616,0.8502824858757062,0.5600379686758424
2262,165,647,1819,101,586,06097152201,0.6121212121212121,0.9057187017001546,0.6758403144068672
2554,255,662,1676,89,538,06097152802,0.34901960784313724,0.8126888217522659,0.4294627888330053
2755,271,546,1876,112,466,06097153001,0.4132841328413284,0.8534798534798534,0.48423419856516164
2282,305,492,1510,144,420,06097151305,0.4721311475409836,0.8536585365853658,0.5530679156908666
1848,193,510,1371,91,452,06097151306,0.47150259067357514,0.8862745098039215,0.5320051354945207
3022,267,809,2251,132,718,06097151307,0.4943820224719101,0.8875154511742892,0.5570404682169572
2203,130,769,1721,57,700,06097154100,0.43846153846153846,0.9102730819245773,0.4816813186813187
3194,249,1097,2514,104,994,06097153901,0.41767068273092367,0.9061075660893345,0.460950441605456
2533,183,895,2074,90,834,06097153903,0.4918032786885246,0.9318435754189944,0.5277745017101073
3884,360,995,2817,174,873,06097153006,0.48333333333333334,0.8773869346733668,0.5508781977854142
2299,194,634,1717,97,556,06097152702,0.5,0.8769716088328076,0.5701438848920863
3156,258,710,2358,117,643,06097152906,0.45348837209302323,0.9056338028169014,0.5007414373033382
1899,126,731,1532,66,671,06097154000,0.5238095238095238,0.9179206566347469,0.5706479313036691
1702,190,357,1153,82,299,06097152903,0.43157894736842106,0.8375350140056023,0.5152966027107904
3110,299,740,2290,139,658,06097152904,0.46488294314381273,0.8891891891891892,0.5228166837787559
2474,238,721,1947,126,644,06097153807,0.5294117647058824,0.8932038834951457,0.5927109974424553
3065,238,920,2335,124,809,06097152701,0.5210084033613446,0.8793478260869565,0.592494105182246
2068,153,539,1541,76,482,06097152801,0.49673202614379086,0.8942486085343229,0.5554741952105877
2174,210,498,1589,104,450,06097152905,0.49523809523809526,0.9036144578313253,0.548063492063492
4080,328,1325,3164,180,1177,06097153005,0.5487804878048781,0.8883018867924528,0.6177860206809376
1950,154,590,1455,70,517,06097154201,0.45454545454545453,0.8762711864406779,0.5187269210480042
3436,253,1184,2633,118,1070,06097154202,0.466403162055336,0.9037162162162162,0.5160947139004839
2118,175,608,1625,75,546,06097153902,0.42857142857142855,0.8980263157894737,0.47723704866562006
1897,191,413,1428,92,360,06097153804,0.4816753926701571,0.8716707021791767,0.5525887143688191
1729,175,423,1336,92,377,06097153806,0.5257142857142857,0.8912529550827423,0.5898597953770368
2667,274,576,1978,136,502,06097153808,0.49635036496350365,0.8715277777777778,0.5695175502370081
2481,240,672,1916,133,603,06097153809,0.5541666666666667,0.8973214285714286,0.6175787728026534
4954,506,1102,3649,250,950,06097153801,0.49407114624505927,0.8620689655172413,0.5731225296442688
2423,139,816,1946,74,753,06097153705,0.5323741007194245,0.9227941176470589,0.5769153601421652
3053,160,1045,2457,92,945,06097153706,0.575,0.9043062200956937,0.6358465608465609
2311,116,727,1798,58,653,06097153704,0.5,0.8982118294360385,0.5566615620214396
2731,198,912,2268,115,843,06097153403,0.5808080808080808,0.9243421052631579,0.628347532262123
2977,183,1022,2498,103,957,06097153404,0.5628415300546448,0.9363992172211351,0.6010700561294117
1494,63,622,1220,30,573,06097154304,0.47619047619047616,0.9212218649517685,0.5169118258123493
1107,18,695,966,8,644,06097154303,0.4444444444444444,0.9266187050359712,0.47964113181504486
2695,319,515,1745,150,418,06097153002,0.4702194357366771,0.8116504854368932,0.5793373430727002
4169,313,1408,3407,166,1301,06097153401,0.5303514376996805,0.9240056818181818,0.573969887994735
3568,208,1329,2991,136,1216,06097153600,0.6538461538461539,0.9149736644093304,0.714606528340081
4055,277,1377,3206,145,1250,06097151502,0.5234657039711191,0.9077705156136529,0.5766498194945848
3214,124,1830,2708,52,1672,06097150303,0.41935483870967744,0.9136612021857924,0.458982867726501
2054,201,598,1545,89,535,06097150305,0.4427860696517413,0.8946488294314381,0.49492723299390895
2817,215,829,2230,114,759,06097151100,0.5302325581395348,0.9155609167671894,0.5791341115911388
2036,144,477,1553,74,421,06097151204,0.5138888888888888,0.8825995807127882,0.5822446555819477
1607,154,395,1116,66,328,06097151900,0.42857142857142855,0.830379746835443,0.5161149825783972
1247,199,204,738,78,160,06097153104,0.39195979899497485,0.7843137254901961,0.49974874371859296
2209,85,794,1792,48,735,06097153703,0.5647058823529412,0.9256926952141058,0.6100360144057623
1493,221,255,890,85,197,06097153102,0.38461538461538464,0.7725490196078432,0.4978524014057009
1726,244,306,1070,96,246,06097153103,0.39344262295081966,0.803921568627451,0.4894042383046781
2980,133,1184,2485,79,1089,06097154302,0.5939849624060151,0.9197635135135135,0.6458018324047032
1809,110,337,1337,67,286,06081605100,0.6090909090909091,0.8486646884272997,0.7177050222504768
2887,213,610,2210,132,524,06081605300,0.6197183098591549,0.8590163934426229,0.7214278034619933
